No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
86,Connor Adams,DB,SR,6-1,194,"Sugar Land, TX",Austin
4,Christopher Allen,LB,SO,6-4,250,"Baton Rouge, LA",Southern Lab School
40,Giles Amos,TE,SR,6-4,245,"Perry, GA",Westfield
22,Jalyn Armour-Davis,DB,FR,6-1,182,"Mobile, AL",St. Paul’s
26,Marcus Banks,DB,FR,6-0,170,"Houston, TX",Dekaney
7,Braxton Barker,QB,FR,6-1,202,"Birmingham, AL",Spain Park
58,Christian Barmore,DL,FR,6-5,310,"Philadelphia, PA",Neumann Goretti
9,Jordan Battle,DB,FR,6-1,201,"Fort Lauderdale, FL",St. Thomas Aquinas
51,Wes Baumhower,LB,FR,6-0,220,"Fairhope, AL",Fairhope
36,Markail Benton,LB,SO,6-2,235,"Phenix City, AL",Central
98,Mike Bernier,P,SR,6-2,219,"Madison, AL",Bob Jones/Eastern Illinois
19,Jahleel Billingsley,TE,FR,6-4,228,"Chicago, IL",Phillips Academy
46,Melvin Billingsley,TE,SO,6-3,230,"Opelika, AL",Opelika
20,Cooper Bishop,RB,FR,6-0,195,"Vestavia Hills, AL",Vestavia Hills
18,Slade Bolden,WR,FR,5-11,191,"West Monroe, LA",West Monroe
93,Landon Bothwell,DL,SO,5-11,220,"Oneonta, AL",Oneonta
51,Tanner Bowles,OL,FR,6-5,280,"Glasgow, KY",Glasgow
50,Hunter Brannon,OL,SO,6-4,307,"Cullman, AL",Cullman
65,Deonte Brown,OL,JR,6-4,338,"Decatur, AL",Austin
75,Tommy Brown,OL,FR,6-7,317,"Santa Ana, CA",Mater Dei
97,Joseph Bulovas,PK,SO,6-0,203,"Mandeville, LA",Mandeville
11,Scooby Carter,DB,FR,6-0,186,"Mansfield, TX",Mansfield Legacy
5,Shyheim Carter,DB,SR,6-0,191,"Kentwood, LA",Kentwood
31,Michael Collins,DB,JR,5-10,173,"Montgomery, AL",Montgomery Catholic
55,William Cooper,LB,JR,6-2,229,"Huntsville, AL",Huntsville
71,Darrian Dalcourt,OL,FR,6-3,292,"Havre de Grace, MD",St. Frances Academy
94,DJ Dale,DL,FR,6-3,308,"Birmingham, AL",Clay-Chalkville
1,Ben Davis,LB,JR,6-4,243,"Gordo, AL",Gordo
99,Raekwon Davis,DL,SR,6-7,312,"Meridian, MS",Meridian
12,Skyler DeLong,P,SO,6-4,188,"Fort Mill, SC",Nation Ford
69,Landon Dickerson,OL,JR,6-6,308,"Hickory, NC",South Caldwell
7,Trevon Diggs,DB,SR,6-2,207,"Gaithersburg, MD",Avalon School
57,Joe Donald,LB,SR,6-3,216,"Mountain Brook, AL",Mountain Brook
20,DJ Douglas,DB,FR,6-0,202,"Montgomery, AL",Thompson
92,Justin Eboigbe,DL,FR,6-5,294,"Forest Park, GA",Forest Park
55,Emil Ekiyor Jr.,OL,FR,6-3,327,"Indianapolis, IN",Cathedral
45,Thomas Fletcher,SN,JR,6-2,220,"Georgetown, TX",IMG Academy
27,Jerome Ford,RB,FR,5-11,212,"Seffner, FL",Armwood
87,Miller Forristall,TE,JR,6-5,242,"Cartersville, GA",Cartersville
63,Rowdy Garza,OL,FR,6-4,312,"Trussville, AL",Hewitt-Trussville
31,A.J. Gates,RB,FR,5-7,170,"Mountain Brook, AL",Mountain Brook
16,Jayden George,QB,FR,6-3,192,"Indianapolis, IN",Warren Central
59,Jake Hall,SN,FR,6-3,207,"Saraland, AL",Saraland
8,Christian Harris,LB,FR,6-2,244,"Baton Rouge, LA",University Lab
